Date,Fighter A,Fighter B,Winner,Weight Class,Method,Round,Time
"February 04, 2023",JeongYeong Lee,Yizha,JeongYeong Lee,Featherweight,S-DEC,3,5:00
"February 04, 2023",Rinya Nakamura,Toshiomi Kazama,Rinya Nakamura,Bantamweight,KO/TKOPunch,1,0:33
"February 04, 2023",HyunSung Park,SeungGuk Choi,HyunSung Park,Flyweight,SUBRear Naked Choke,3,3:11
"February 04, 2023",JunYong Park,Denis Tiuliulin,JunYong Park,Middleweight,SUBRear Naked Choke,1,4:05
"February 04, 2023",Tatsuro Taira,Jesus Aguilar,Tatsuro Taira,Flyweight,SUBTriangle Armbar,1,4:20
"January 21, 2023",Jamahal Hill,Glover Teixeira,Jamahal Hill,Light Heavyweight,U-DEC,5,5:00
"January 21, 2023",Brandon Moreno,Deiveson Figueiredo,Brandon Moreno,Flyweight,KO/TKO,3,5:00
"January 21, 2023",Gilbert Burns,Neil Magny,Gilbert Burns,Welterweight,SUBArm Triangle,1,4:15
"January 21, 2023",Jessica Andrade,Lauren Murphy,Jessica Andrade,Women's Flyweight,U-DEC,3,5:00
"January 21, 2023",Johnny Walker,Paul Craig,Johnny Walker,Light Heavyweight,KO/TKOPunches,1,2:16
"January 21, 2023",Ihor Potieria,Mauricio Rua,Ihor Potieria,Light Heavyweight,KO/TKOPunches,1,4:05
"January 21, 2023",Brunno Ferreira,Gregory Rodrigues,Brunno Ferreira,Middleweight,KO/TKOPunch,1,4:13
"January 21, 2023",Thiago Moises,Melquizael Costa,Thiago Moises,Lightweight,SUBRear Naked Choke,2,4:05
"January 21, 2023",Gabriel Bonfim,Mounir Lazzez,Gabriel Bonfim,Welterweight,SUBGuillotine Choke,1,0:49
"January 21, 2023",Jailton Almeida,Shamil Abdurakhimov,Jailton Almeida,Heavyweight,KO/TKOPunches,2,2:56
"January 21, 2023",Cody Stamann,Luan Lacerda,Cody Stamann,Bantamweight,U-DEC,3,5:00
"January 21, 2023",Ismael Bonfim,Terrance McKinney,Ismael Bonfim,Lightweight,KO/TKOFlying Knee,2,2:17
"January 21, 2023",Nicolas Dalby,Warlley Alves,Nicolas Dalby,Welterweight,S-DEC,3,5:00
"January 21, 2023",Josiane Nunes,Zarah Fairn,Josiane Nunes,Women's Featherweight,U-DEC,3,5:00
"January 21, 2023",Daniel Marcos,Saimon Oliveira,Daniel Marcos,Bantamweight,KO/TKOKnees,2,2:18
"January 14, 2023",Sean Strickland,Nassourdine Imavov,Sean Strickland,Light Heavyweight,U-DEC,5,5:00
"January 14, 2023",Dan Ige,Damon Jackson,Dan Ige,Featherweight,KO/TKOPunch,2,4:13
"January 14, 2023",Roman Kopylov,Punahele Soriano,Roman Kopylov,Middleweight,KO/TKOKick,2,3:19
"January 14, 2023",Raquel Pennington,Ketlen Vieira,Raquel Pennington,Women's Bantamweight,S-DEC,3,5:00
"January 14, 2023",Umar Nurmagomedov,Raoni Barcelos,Umar Nurmagomedov,Bantamweight,KO/TKOPunch,1,4:40
"January 14, 2023",Javid Basharat,Mateus Mendonca,Javid Basharat,Bantamweight,U-DEC,3,5:00
"January 14, 2023",Abdul Razak Alhassan,Claudio Ribeiro,Abdul Razak Alhassan,Middleweight,KO/TKOPunches,2,0:28
"January 14, 2023",Mateusz Rebecki,Nick Fiore,Mateusz Rebecki,Lightweight,U-DEC,3,5:00
"January 14, 2023",Allan Nascimento,Carlos Hernandez,Allan Nascimento,Flyweight,SUBRear Naked Choke,1,3:16
"January 14, 2023",Dan Argueta,Nick Aguirre,Dan Argueta,Featherweight,U-DEC,3,5:00
"January 14, 2023",Charles Johnson,Jimmy Flick,Charles Johnson,Flyweight,KO/TKOPunches,1,4:33
"December 17, 2022",Jared Cannonier,Sean Strickland,Jared Cannonier,Middleweight,S-DEC,5,5:00
"December 17, 2022",Arman Tsarukyan,Damir Ismagulov,Arman Tsarukyan,Lightweight,U-DEC,3,5:00
"December 17, 2022",Amir Albazi,Alessandro Costa,Amir Albazi,Flyweight,KO/TKOPunch,3,2:13
"December 17, 2022",Alex Caceres,Julian Erosa,Alex Caceres,Featherweight,KO/TKOKick,1,3:04
"December 17, 2022",Drew Dober,King Green,Drew Dober,Lightweight,KO/TKOPunch,2,2:45
"December 17, 2022",Michal Oleksiejczuk,Cody Brundage,Michal Oleksiejczuk,Middleweight,KO/TKOPunch,1,3:16
"December 17, 2022",Cory McKenna,Cheyanne Vlismas,Cory McKenna,Women's Strawweight,U-DEC,3,5:00
"December 17, 2022",Matthew Semelsberger,Jake Matthews,Matthew Semelsberger,Welterweight,U-DEC,3,5:00
"December 17, 2022",Said Nurmagomedov,Saidyokub Kakhramonov,Said Nurmagomedov,Bantamweight,SUBGuillotine Choke,2,3:50
"December 17, 2022",Rafa Garcia,Maheshate,Rafa Garcia,Lightweight,U-DEC,3,5:00
"December 17, 2022",Rinat Fakhretdinov,Bryan Battle,Rinat Fakhretdinov,Welterweight,U-DEC,3,5:00
"December 17, 2022",Manel Kape,David Dvorak,Manel Kape,Flyweight,U-DEC,3,5:00
"December 17, 2022",Sergey Morozov,Journey Newson,Sergey Morozov,Bantamweight,U-DEC,3,5:00
"December 10, 2022",Jan Blachowicz,Magomed Ankalaev,Draw/NC,Light Heavyweight,S-DEC,5,5:00
"December 10, 2022",Paddy Pimblett,Jared Gordon,Paddy Pimblett,Lightweight,U-DEC,3,5:00
"December 10, 2022",Santiago Ponzinibbio,Alex Morono,Santiago Ponzinibbio,Catch Weight,KO/TKOPunches,3,2:29
"December 10, 2022",Dricus Du Plessis,Darren Till,Dricus Du Plessis,Middleweight,SUBNeck Crank,3,2:43
"December 10, 2022",Ilia Topuria,Bryce Mitchell,Ilia Topuria,Featherweight,SUBArm Triangle,2,3:10
"December 10, 2022",Raul Rosas Jr.,Jay Perrin,Raul Rosas Jr.,Bantamweight,SUBNeck Crank,1,2:44
"December 10, 2022",Jairzinho Rozenstruik,Chris Daukaus,Jairzinho Rozenstruik,Heavyweight,KO/TKOPunch,1,0:23
"December 10, 2022",Edmen Shahbazyan,Dalcha Lungiambula,Edmen Shahbazyan,Middleweight,KO/TKOPunches,2,4:41
"December 10, 2022",Chris Curtis,Joaquin Buckley,Chris Curtis,Middleweight,KO/TKOPunch,2,2:49
"December 10, 2022",Billy Quarantillo,Alexander Hernandez,Billy Quarantillo,Featherweight,KO/TKOPunches,2,4:30
"December 10, 2022",TJ Brown,Erik Silva,TJ Brown,Featherweight,SUBArm Triangle,3,3:41
"December 10, 2022",Cameron Saaiman,Steven Koslow,Cameron Saaiman,Bantamweight,KO/TKOPunches,3,4:13
"December 03, 2022",Stephen Thompson,Kevin Holland,Stephen Thompson,Welterweight,KO/TKO,4,5:00
"December 03, 2022",Rafael Dos Anjos,Bryan Barberena,Rafael Dos Anjos,Welterweight,SUBRear Naked Choke,2,3:20
"December 03, 2022",Matheus Nicolau,Matt Schnell,Matheus Nicolau,Flyweight,KO/TKOPunch,2,1:44
"December 03, 2022",Sergei Pavlovich,Tai Tuivasa,Sergei Pavlovich,Heavyweight,KO/TKOPunches,1,0:54
"December 03, 2022",Roman Dolidze,Jack Hermansson,Roman Dolidze,Middleweight,KO/TKOPunches,2,4:06
"December 03, 2022",Eryk Anders,Kyle Daukaus,Eryk Anders,Middleweight,KO/TKOPunches,2,2:45
"December 03, 2022",Phil Rowe,Niko Price,Phil Rowe,Welterweight,KO/TKOPunches,3,3:26
"December 03, 2022",Angela Hill,Emily Ducote,Angela Hill,Women's Strawweight,U-DEC,3,5:00
"December 03, 2022",Clay Guida,Scott Holtzman,Clay Guida,Lightweight,S-DEC,3,5:00
"December 03, 2022",Michael Johnson,Marc Diakiese,Michael Johnson,Lightweight,U-DEC,3,5:00
"December 03, 2022",Jonathan Pearce,Darren Elkins,Jonathan Pearce,Featherweight,U-DEC,3,5:00
"December 03, 2022",Natan Levy,Genaro Valdez,Natan Levy,Lightweight,U-DEC,3,5:00
"December 03, 2022",Francis Marshall,Marcelo Rojo,Francis Marshall,Featherweight,KO/TKOPunch,2,1:14
"December 03, 2022",Yazmin Jauregui,Istela Nunes,Yazmin Jauregui,Women's Strawweight,KO/TKOPunches,2,4:06
"November 19, 2022",Kennedy Nzechukwu,Ion Cutelaba,Kennedy Nzechukwu,Light Heavyweight,KO/TKOKnee,2,1:02
"November 19, 2022",Waldo Cortes-Acosta,Chase Sherman,Waldo Cortes-Acosta,Heavyweight,U-DEC,3,5:00
"November 19, 2022",Muslim Salikhov,Andre Fialho,Muslim Salikhov,Welterweight,KO/TKOKick,3,1:03
"November 19, 2022",Jack Della Maddalena,Danny Roberts,Jack Della Maddalena,Welterweight,KO/TKOPunches,1,3:24
"November 19, 2022",Charles Johnson,Zhalgas Zhumagulov,Charles Johnson,Flyweight,S-DEC,3,5:00
"November 19, 2022",Jennifer Maia,Maryna Moroz,Jennifer Maia,Women's Flyweight,U-DEC,3,5:00
"November 19, 2022",Miles Johns,Vince Morales,Miles Johns,Bantamweight,U-DEC,3,5:00
"November 19, 2022",Ricky Turcios,Kevin Natividad,Ricky Turcios,Bantamweight,S-DEC,3,5:00
"November 19, 2022",Vanessa Demopoulos,Maria Oliveira,Vanessa Demopoulos,Women's Strawweight,U-DEC,3,5:00
"November 19, 2022",Brady Hiestand,Fernie Garcia,Brady Hiestand,Bantamweight,U-DEC,3,5:00
"November 19, 2022",Natalia Silva,Tereza Bleda,Natalia Silva,Women's Flyweight,KO/TKOSpinning Back Kick,3,1:27
"November 12, 2022",Alex Pereira,Israel Adesanya,Alex Pereira,Middleweight,KO/TKOPunches,5,2:01
"November 12, 2022",Zhang Weili,Carla Esparza,Zhang Weili,Women's Strawweight,SUBRear Naked Choke,2,1:05
"November 12, 2022",Dustin Poirier,Michael Chandler,Dustin Poirier,Lightweight,SUBRear Naked Choke,3,2:00
"November 12, 2022",Chris Gutierrez,Frankie Edgar,Chris Gutierrez,Bantamweight,KO/TKOKnee,1,2:01
"November 12, 2022",Dan Hooker,Claudio Puelles,Dan Hooker,Lightweight,KO/TKOKick,2,4:06
"November 12, 2022",Renato Moicano,Brad Riddell,Renato Moicano,Lightweight,SUBRear Naked Choke,1,3:20
"November 12, 2022",Ryan Spann,Dominick Reyes,Ryan Spann,Light Heavyweight,KO/TKOPunch,1,1:20
"November 12, 2022",Erin Blanchfield,Molly McCann,Erin Blanchfield,Women's Flyweight,SUBKimura,1,3:37
"November 12, 2022",Andre Petroski,Wellington Turman,Andre Petroski,Middleweight,U-DEC,3,5:00
"November 12, 2022",Matt Frevola,Ottman Azaitar,Matt Frevola,Lightweight,KO/TKOPunch,1,2:30
"November 12, 2022",Karolina Kowalkiewicz,Silvana Gomez Juarez,Karolina Kowalkiewicz,Women's Strawweight,U-DEC,3,5:00
"November 12, 2022",Michael Trizano,SeungWoo Choi,Michael Trizano,Featherweight,KO/TKOPunch,1,4:51
"November 12, 2022",Montel Jackson,Julio Arce,Montel Jackson,Bantamweight,U-DEC,3,5:00
"November 12, 2022",Carlos Ulberg,Nicolae Negumereanu,Carlos Ulberg,Light Heavyweight,KO/TKOPunch,1,3:44
"November 05, 2022",Amanda Lemos,Marina Rodriguez,Amanda Lemos,Women's Strawweight,KO/TKOPunches,3,0:54
"November 05, 2022",Neil Magny,Daniel Rodriguez,Neil Magny,Welterweight,SUBD'Arce Choke,3,3:33
"November 05, 2022",Shayilan Nuerdanbieke,Darrick Minner,Shayilan Nuerdanbieke,Featherweight,KO/TKOElbows,1,1:07
"November 05, 2022",Tagir Ulanbekov,Nate Maness,Tagir Ulanbekov,Flyweight,SUBGuillotine Choke,1,2:11
"November 05, 2022",Grant Dawson,Mark Madsen,Grant Dawson,Lightweight,SUBRear Naked Choke,3,2:05
"November 05, 2022",Miranda Maverick,Shanna Young,Miranda Maverick,Women's Flyweight,U-DEC,3,5:00
"November 05, 2022",Mario Bautista,Benito Lopez,Mario Bautista,Bantamweight,SUBTriangle Armbar,1,4:54
"November 05, 2022",Polyana Viana,Jinh Yu Frey,Polyana Viana,Women's Strawweight,KO/TKOPunches,1,0:47
"November 05, 2022",Johnny Munoz,Liudvik Sholinian,Johnny Munoz,Bantamweight,U-DEC,3,5:00
"November 05, 2022",Jake Hadley,Carlos Candelario,Jake Hadley,Flyweight,SUBTriangle Choke,2,2:39
"November 05, 2022",Tamires Vidal,Ramona Pascual,Tamires Vidal,Women's Bantamweight,KO/TKOFlying Knee,1,3:06
"October 29, 2022",Arnold Allen,Calvin Kattar,Arnold Allen,Featherweight,KO/TKO,2,0:08
"October 29, 2022",Max Griffin,Tim Means,Max Griffin,Welterweight,S-DEC,3,5:00
"October 29, 2022",Waldo Cortes-Acosta,Jared Vanderaa,Waldo Cortes-Acosta,Heavyweight,U-DEC,3,5:00
"October 29, 2022",Tresean Gore,Josh Fremd,Tresean Gore,Middleweight,SUBGuillotine Choke,2,0:49
"October 29, 2022",Khalil Rountree Jr.,Dustin Jacoby,Khalil Rountree Jr.,Light Heavyweight,S-DEC,3,5:00
"October 29, 2022",Roman Dolidze,Phil Hawes,Roman Dolidze,Middleweight,KO/TKOPunches,1,4:09
"October 29, 2022",Marcos Rogerio de Lima,Andrei Arlovski,Marcos Rogerio de Lima,Heavyweight,SUBRear Naked Choke,1,1:50
"October 29, 2022",JunYong Park,Joseph Holmes,JunYong Park,Middleweight,SUBRear Naked Choke,2,3:04
"October 29, 2022",Steve Garcia,Chase Hooper,Steve Garcia,Featherweight,KO/TKOPunches,1,1:32
"October 29, 2022",Cody Durden,Carlos Mota,Cody Durden,Flyweight,U-DEC,3,5:00
"October 29, 2022",Christian Rodriguez,Joshua Weems,Christian Rodriguez,Bantamweight,SUBAnaconda Choke,1,4:07
"October 22, 2022",Islam Makhachev,Charles Oliveira,Islam Makhachev,Lightweight,SUBArm Triangle,2,3:16
"October 22, 2022",Aljamain Sterling,TJ Dillashaw,Aljamain Sterling,Bantamweight,KO/TKOPunches,2,3:44
"October 22, 2022",Sean O'Malley,Petr Yan,Sean O'Malley,Bantamweight,S-DEC,3,5:00
"October 22, 2022",Beneil Dariush,Mateusz Gamrot,Beneil Dariush,Lightweight,U-DEC,3,5:00
"October 22, 2022",Manon Fiorot,Katlyn Cerminara,Manon Fiorot,Women's Flyweight,U-DEC,3,5:00
"October 22, 2022",Belal Muhammad,Sean Brady,Belal Muhammad,Welterweight,KO/TKOPunches,2,4:47
"October 22, 2022",Caio Borralho,Makhmud Muradov,Caio Borralho,Middleweight,U-DEC,3,5:00
"October 22, 2022",Nikita Krylov,Volkan Oezdemir,Nikita Krylov,Light Heavyweight,U-DEC,3,5:00
"October 22, 2022",Abubakar Nurmagomedov,Gadzhi Omargadzhiev,Abubakar Nurmagomedov,Welterweight,U-DEC,3,5:00
"October 22, 2022",Armen Petrosyan,AJ Dobson,Armen Petrosyan,Middleweight,U-DEC,3,5:00
"October 22, 2022",Muhammad Mokaev,Malcolm Gordon,Muhammad Mokaev,Flyweight,SUBArmbar,3,4:26
"October 22, 2022",Karol Rosa,Lina Lansberg,Karol Rosa,Women's Bantamweight,M-DEC,3,5:00
"October 15, 2022",Alexa Grasso,Viviane Araujo,Alexa Grasso,Women's Flyweight,U-DEC,5,5:00
"October 15, 2022",Jonathan Martinez,Cub Swanson,Jonathan Martinez,Bantamweight,KO/TKOKick,2,4:19
"October 15, 2022",Dusko Todorovic,Jordan Wright,Dusko Todorovic,Middleweight,KO/TKOElbows,2,3:12
"October 15, 2022",Raphael Assuncao,Victor Henry,Raphael Assuncao,Bantamweight,U-DEC,3,5:00
"October 15, 2022",Alonzo Menifield,Misha Cirkunov,Alonzo Menifield,Light Heavyweight,KO/TKOPunch,1,1:28
"October 15, 2022",Mana Martinez,Brandon Davis,Mana Martinez,Bantamweight,S-DEC,3,5:00
"October 15, 2022",Jacob Malkoun,Nick Maximov,Jacob Malkoun,Middleweight,U-DEC,3,5:00
"October 15, 2022",Joanderson Brito,Lucas Alexander,Joanderson Brito,Featherweight,SUBRear Naked Choke,1,2:02
"October 15, 2022",Piera Rodriguez,Sam Hughes,Piera Rodriguez,Women's Strawweight,U-DEC,3,5:00
"October 15, 2022",Tatsuro Taira,CJ Vergara,Tatsuro Taira,Flyweight,SUBArmbar,2,4:19
"October 15, 2022",Pete Rodriguez,Mike Jackson,Pete Rodriguez,Welterweight,KO/TKOKnee,1,1:33
"October 01, 2022",Yan Xiaonan,Mackenzie Dern,Yan Xiaonan,Women's Strawweight,M-DEC,5,5:00
"October 01, 2022",Randy Brown,Francisco Trinaldo,Randy Brown,Welterweight,U-DEC,3,5:00
"October 01, 2022",Raoni Barcelos,Trevin Jones,Raoni Barcelos,Bantamweight,U-DEC,3,5:00
"October 01, 2022",Sodiq Yusuff,Don Shainis,Sodiq Yusuff,Featherweight,SUBGuillotine Choke,1,0:30
"October 01, 2022",Mike Davis,Viacheslav Borshchev,Mike Davis,Lightweight,U-DEC,3,5:00
"October 01, 2022",Daniel Santos,John Castaneda,Daniel Santos,Catch Weight,KO/TKOKnee,2,4:28
"October 01, 2022",Ilir Latifi,Aleksei Oleinik,Ilir Latifi,Heavyweight,U-DEC,3,5:00
"October 01, 2022",Joaquim Silva,Jesse Ronson,Joaquim Silva,Lightweight,KO/TKOFlying Knee,2,3:08
"October 01, 2022",Brendan Allen,Krzysztof Jotko,Brendan Allen,Middleweight,SUBRear Naked Choke,1,4:17
"October 01, 2022",Chelsea Chandler,Julija Stoliarenko,Chelsea Chandler,Catch Weight,KO/TKOPunches,1,4:15
"October 01, 2022",Guido Cannetti,Randy Costa,Guido Cannetti,Bantamweight,SUBRear Naked Choke,1,1:04
"September 17, 2022",Cory Sandhagen,Song Yadong,Cory Sandhagen,Bantamweight,KO/TKO,4,5:00
"September 17, 2022",Gregory Rodrigues,Chidi Njokuani,Gregory Rodrigues,Middleweight,KO/TKOPunches,2,1:27
"September 17, 2022",Andre Fili,Bill Algeo,Andre Fili,Featherweight,S-DEC,3,5:00
"September 17, 2022",Joe Pyfer,Alen Amedovski,Joe Pyfer,Middleweight,KO/TKOPunch,1,3:55
"September 17, 2022",Rodrigo Nascimento,Tanner Boser,Rodrigo Nascimento,Heavyweight,S-DEC,3,5:00
"September 17, 2022",Anthony Hernandez,Marc-Andre Barriault,Anthony Hernandez,Middleweight,SUBArm Triangle,3,1:53
"September 17, 2022",Damon Jackson,Pat Sabatini,Damon Jackson,Featherweight,KO/TKOPunches,1,1:09
"September 17, 2022",Trevin Giles,Louis Cosce,Trevin Giles,Welterweight,U-DEC,3,5:00
"September 17, 2022",Loma Lookboonmee,Denise Gomes,Loma Lookboonmee,Women's Strawweight,U-DEC,3,5:00
"September 17, 2022",Trey Ogden,Daniel Zellhuber,Trey Ogden,Lightweight,U-DEC,3,5:00
"September 17, 2022",Gillian Robertson,Mariya Agapova,Gillian Robertson,Women's Flyweight,SUBRear Naked Choke,2,2:19
"September 17, 2022",Javid Basharat,Tony Gravely,Javid Basharat,Bantamweight,U-DEC,3,5:00
"September 17, 2022",Nikolas Motta,Cameron VanCamp,Nikolas Motta,Lightweight,KO/TKOPunch,1,3:49
"September 10, 2022",Nate Diaz,Tony Ferguson,Nate Diaz,Welterweight,SUBGuillotine Choke,4,2:52
"September 10, 2022",Khamzat Chimaev,Kevin Holland,Khamzat Chimaev,Catch Weight,SUBD'Arce Choke,1,2:13
"September 10, 2022",Daniel Rodriguez,Li Jingliang,Daniel Rodriguez,Catch Weight,S-DEC,3,5:00
"September 10, 2022",Irene Aldana,Macy Chiasson,Irene Aldana,Catch Weight,KO/TKOKick,3,2:21
"September 10, 2022",Johnny Walker,Ion Cutelaba,Johnny Walker,Light Heavyweight,SUBRear Naked Choke,1,4:37
"September 10, 2022",Julian Erosa,Hakeem Dawodu,Julian Erosa,Featherweight,U-DEC,3,5:00
"September 10, 2022",Jailton Almeida,Anton Turkalj,Jailton Almeida,Catch Weight,SUBRear Naked Choke,1,4:27
"September 10, 2022",Denis Tiuliulin,Jamie Pickett,Denis Tiuliulin,Middleweight,KO/TKOPunches,2,4:52
"September 10, 2022",Chris Barnett,Jake Collier,Chris Barnett,Heavyweight,KO/TKOPunches,2,2:24
"September 10, 2022",Norma Dumont,Danyelle Wolf,Norma Dumont,Women's Featherweight,U-DEC,3,5:00
"September 10, 2022",Alatengheili,Chad Anheliger,Alatengheili,Bantamweight,U-DEC,3,5:00
"September 10, 2022",Elise Reed,Melissa Martinez,Elise Reed,Women's Strawweight,U-DEC,3,5:00
"September 10, 2022",Yohan Lainesse,Darian Weeks,Yohan Lainesse,Welterweight,S-DEC,3,5:00
"September 03, 2022",Ciryl Gane,Tai Tuivasa,Ciryl Gane,Heavyweight,KO/TKOPunches,3,4:23
"September 03, 2022",Robert Whittaker,Marvin Vettori,Robert Whittaker,Middleweight,U-DEC,3,5:00
"September 03, 2022",Nassourdine Imavov,Joaquin Buckley,Nassourdine Imavov,Middleweight,U-DEC,3,5:00
"September 03, 2022",Roman Kopylov,Alessio Di Chirico,Roman Kopylov,Middleweight,KO/TKOPunches,3,1:09
"September 03, 2022",William Gomis,Jarno Errens,William Gomis,Featherweight,M-DEC,3,5:00
"September 03, 2022",Nathaniel Wood,Charles Jourdain,Nathaniel Wood,Featherweight,U-DEC,3,5:00
"September 03, 2022",Abus Magomedov,Dustin Stoltzfus,Abus Magomedov,Middleweight,KO/TKOPunches,1,0:19
"September 03, 2022",Nasrat Haqparast,John Makdessi,Nasrat Haqparast,Lightweight,U-DEC,3,5:00
"September 03, 2022",Fares Ziam,Michal Figlak,Fares Ziam,Lightweight,U-DEC,3,5:00
"September 03, 2022",Benoit Saint Denis,Gabriel Miranda,Benoit Saint Denis,Lightweight,KO/TKOPunch,2,0:16
"September 03, 2022",Cristian Quinonez,Khalid Taha,Cristian Quinonez,Bantamweight,KO/TKOPunches,1,3:15
"September 03, 2022",Stephanie Egger,Ailin Perez,Stephanie Egger,Women's Featherweight,SUBRear Naked Choke,2,4:54
"August 20, 2022",Leon Edwards,Kamaru Usman,Leon Edwards,Welterweight,KO/TKOKick,5,4:04
"August 20, 2022",Paulo Costa,Luke Rockhold,Paulo Costa,Middleweight,U-DEC,3,5:00
"August 20, 2022",Merab Dvalishvili,Jose Aldo,Merab Dvalishvili,Bantamweight,U-DEC,3,5:00
"August 20, 2022",Lucie Pudilova,Wu Yanan,Lucie Pudilova,Women's Bantamweight,KO/TKOElbows,2,4:04
"August 20, 2022",Tyson Pedro,Harry Hunsucker,Tyson Pedro,Light Heavyweight,KO/TKOKick,1,1:05
"August 20, 2022",Marcin Tybura,Alexandr Romanov,Marcin Tybura,Heavyweight,M-DEC,3,5:00
"August 20, 2022",Jared Gordon,Leonardo Santos,Jared Gordon,Lightweight,U-DEC,3,5:00
"August 20, 2022",Sean Woodson,Luis Saldana,Draw/NC,Featherweight,S-DEC,3,5:00
"August 20, 2022",Ange Loosa,AJ Fletcher,Ange Loosa,Welterweight,U-DEC,3,5:00
"August 20, 2022",Amir Albazi,Francisco Figueiredo,Amir Albazi,Flyweight,SUBRear Naked Choke,1,4:34
"August 20, 2022",Aoriqileng,Jay Perrin,Aoriqileng,Bantamweight,U-DEC,3,5:00
"August 20, 2022",Victor Altamirano,Daniel Lacerda,Victor Altamirano,Flyweight,KO/TKOPunches,1,3:39
"August 13, 2022",Marlon Vera,Dominick Cruz,Marlon Vera,Bantamweight,KO/TKOKick,4,2:17
"August 13, 2022",Nate Landwehr,David Onama,Nate Landwehr,Featherweight,M-DEC,3,5:00
"August 13, 2022",Yazmin Jauregui,Iasmin Lucindo,Yazmin Jauregui,Women's Strawweight,U-DEC,3,5:00
"August 13, 2022",Azamat Murzakanov,Devin Clark,Azamat Murzakanov,Light Heavyweight,KO/TKOPunch,3,1:18
"August 13, 2022",Priscila Cachoeira,Ariane da Silva,Priscila Cachoeira,Women's Bantamweight,KO/TKOPunches,1,1:05
"August 13, 2022",Gerald Meerschaert,Bruno Silva,Gerald Meerschaert,Middleweight,SUBGuillotine Choke,3,1:39
"August 13, 2022",Angela Hill,Loopy Godinez,Angela Hill,Catch Weight,U-DEC,3,5:00
"August 13, 2022",Martin Buday,Lukasz Brzeski,Martin Buday,Heavyweight,S-DEC,3,5:00
"August 13, 2022",Nina Nunes,Cynthia Calvillo,Nina Nunes,Women's Flyweight,S-DEC,3,5:00
"August 13, 2022",Gabriel Benitez,Charlie Ontiveros,Gabriel Benitez,Lightweight,KO/TKOPunches,1,3:33
"August 13, 2022",Tyson Nam,Ode Osbourne,Tyson Nam,Flyweight,KO/TKOPunch,1,2:59
"August 13, 2022",Josh Quinlan,Jason Witt,Josh Quinlan,Catch Weight,KO/TKOPunch,1,2:09
"August 13, 2022",Youssef Zalal,Da'Mon Blackshear,Draw/NC,Bantamweight,M-DEC,3,5:00
"August 06, 2022",Jamahal Hill,Thiago Santos,Jamahal Hill,Light Heavyweight,KO/TKOElbows,4,2:31
"August 06, 2022",Geoff Neal,Vicente Luque,Geoff Neal,Welterweight,KO/TKOPunches,3,2:01
"August 06, 2022",Mohammed Usman,Zac Pauga,Mohammed Usman,Heavyweight,KO/TKOPunch,2,0:36
"August 06, 2022",Juliana Miller,Brogan Walker,Juliana Miller,Women's Flyweight,KO/TKOElbows,3,3:57
"August 06, 2022",Serghei Spivac,Augusto Sakai,Serghei Spivac,Heavyweight,KO/TKOPunches,2,3:42
"August 06, 2022",Terrance McKinney,Erick Gonzalez,Terrance McKinney,Lightweight,SUBRear Naked Choke,1,2:17
"August 06, 2022",Michal Oleksiejczuk,Sam Alvey,Michal Oleksiejczuk,Middleweight,KO/TKOPunch,1,1:56
"August 06, 2022",Bryan Battle,Takashi Sato,Bryan Battle,Welterweight,KO/TKOKick,1,0:44
"August 06, 2022",Cory McKenna,Miranda Granger,Cory McKenna,Women's Strawweight,SUBVon Flue Choke,2,1:03
"August 06, 2022",Mayra Bueno Silva,Stephanie Egger,Mayra Bueno Silva,Women's Bantamweight,SUBArmbar,1,1:17
"July 30, 2022",Amanda Nunes,Julianna Pena,Amanda Nunes,Women's Bantamweight,U-DEC,5,5:00
"July 30, 2022",Brandon Moreno,Kai Kara-France,Brandon Moreno,Flyweight,KO/TKOKick,3,4:34
"July 30, 2022",Sergei Pavlovich,Derrick Lewis,Sergei Pavlovich,Heavyweight,KO/TKOPunches,1,0:55
"July 30, 2022",Alexandre Pantoja,Alex Perez,Alexandre Pantoja,Flyweight,SUBNeck Crank,1,1:31
"July 30, 2022",Magomed Ankalaev,Anthony Smith,Magomed Ankalaev,Light Heavyweight,KO/TKOPunches,2,3:09
"July 30, 2022",Alex Morono,Matthew Semelsberger,Alex Morono,Welterweight,U-DEC,3,5:00
"July 30, 2022",Drew Dober,Rafael Alves,Drew Dober,Lightweight,KO/TKOPunch,3,1:30
"July 30, 2022",Don'Tale Mayes,Hamdy Abdelwahab,Draw/NC,Heavyweight,Overturned,3,5:00
"July 30, 2022",Drakkar Klose,Rafa Garcia,Drakkar Klose,Lightweight,U-DEC,3,5:00
"July 30, 2022",Michael Morales,Adam Fugitt,Michael Morales,Welterweight,KO/TKOPunch,3,1:09
"July 30, 2022",Joselyne Edwards,Ji Yeon Kim,Joselyne Edwards,Women's Bantamweight,S-DEC,3,5:00
"July 30, 2022",Nicolae Negumereanu,Ihor Potieria,Nicolae Negumereanu,Light Heavyweight,KO/TKOKnees,2,3:33
"July 30, 2022",Orion Cosce,Blood Diamond,Orion Cosce,Welterweight,U-DEC,3,5:00
"July 23, 2022",Curtis Blaydes,Tom Aspinall,Curtis Blaydes,Heavyweight,KO/TKO,1,0:15
"July 23, 2022",Jack Hermansson,Chris Curtis,Jack Hermansson,Middleweight,U-DEC,3,5:00
"July 23, 2022",Paddy Pimblett,Jordan Leavitt,Paddy Pimblett,Lightweight,SUBRear Naked Choke,2,2:46
